age,education_level,employment_type,employment_years,monthly_income,fixed_monthly_expenses,debt_to_income_ratio,savings_balance,loan_amount,loan_duration_months,loan_purpose,credit_score,late_payments_12m,missed_payments_12m,utility_bill_on_time_ratio,income_inflation_ratio,document_mismatch_flag,application_velocity,geo_location_mismatch,metadata_anomaly_score,loan_approved,is_fraud
56,0,1,12.816526293804124,35626.93978567491,76516.02783454352,0.6495447447325019,447907.8657800973,465661.66394137574,48,1,593,8,0,0.6659531424487484,1.0598218844823792,0,9,0,0.7893829606886293,1,0
46,3,2,4.320763650191992,54525.76828461879,34971.82117524586,0.23699884806975435,51737.531823292324,277090.87230134616,36,4,694,1,1,0.8122124635921962,0.8527484273602243,0,7,0,0.5330788223246319,1,0
32,1,1,12.39175909795659,22281.807237661757,35345.443789506855,0.6741773232614229,328281.35119982617,334118.4406085894,12,2,812,6,4,0.912804336253797,1.4708440085416594,0,1,0,0.5781406737621203,0,1
60,3,1,13.004021847963067,58130.119401473414,96702.42884014342,0.5541229797265128,453492.7592191218,452604.0748970679,60,2,479,7,4,0.9683869747615009,1.1045083492062326,0,8,0,0.052586860214377085,1,0
25,0,1,3.040497062572962,120508.4436094273,10925.604634212283,0.39327884164566707,84374.71919911477,58287.957192341775,60,4,534,5,0,0.9015620830895192,1.236280256771192,0,3,0,0.2553138011712709,1,0
38,2,1,1.2269925422133632,87334.86860263527,74444.49759179301,0.4206200316087081,484163.4800496275,123718.50315442086,48,0,636,6,4,0.7133369903079023,1.2664137261898045,0,4,0,0.6383543048854777,1,0
56,0,0,15.615231721368797,65252.42711187745,73562.1546299736,0.2796530450302671,226441.68020775585,357361.0030632754,24,4,307,0,1,0.8174571176560321,1.1825595960908424,0,4,0,0.8591818901106761,0,1
36,0,3,9.196008475386403,68326.10833782294,66042.05868548178,0.6264800328878823,472857.5542205122,413634.78633702686,60,3,742,3,1,0.9281496633580585,0.9436802708153891,1,8,0,0.9169833971814025,0,1
40,0,0,1.1632759101095158,20175.97134301086,99109.79614781792,0.4590123196136875,338410.0218150235,429944.2238819832,36,4,838,6,1,0.7453048441558697,1.328600135081299,0,1,0,0.5004194958350817,0,1
28,0,2,19.897326343395342,58974.068583480665,38069.14921873527,0.32459817992489054,150793.43493677577,213402.51665891698,24,0,390,0,3,0.6083433218526964,1.362626382012857,0,8,0,0.5454742327381976,0,1
28,2,0,1.1556112199273327,104039.63641293097,40597.467741392335,0.5172350810326652,94151.2624585532,53776.55212301475,24,4,571,0,0,0.5848617198739365,1.1870829102122078,0,9,0,0.8330496310689909,1,1
41,2,0,13.900704577171064,146645.27769612643,17104.54626519,0.7970141164359261,151867.5231125497,224512.92387681376,60,2,304,5,4,0.5000788722890284,1.1419928124093892,0,9,0,0.5376246007473546,0,0
53,3,2,19.67357850526827,130117.90750790693,49851.83228893637,0.4046835957595877,46508.704631337496,123059.94920145636,60,1,518,3,1,0.8591189974906421,0.8797567281895897,0,5,0,0.5168585255373174,1,0
57,1,2,4.783602084318512,23067.345403918785,33494.36736113633,0.7444839805450337,71933.98317166488,152686.26294834583,60,2,417,2,0,0.5555486044229953,0.8587661630498488,1,4,0,0.9050840377609537,0,1
41,2,2,2.8449873737439235,136812.8786077291,40904.80319598798,0.3415117879471963,52330.220173240574,388411.10285037785,36,1,414,4,0,0.6219195498479702,1.03769539189447,0,4,0,0.7899327210558801,0,0
20,2,0,2.427698788448578,121815.79372882137,85111.46112300649,0.13831289484749013,211471.77187077887,47008.27215268456,24,4,562,8,3,0.6489381657613966,1.0175923088621752,0,9,0,0.9090725263612945,1,1
39,1,0,6.065502951351911,121448.89606422745,94193.60621747462,0.24296947445790024,397789.1881287932,415514.79656554403,48,3,605,9,4,0.7801899300683841,1.46755951567429,0,8,0,0.2182470547811538,0,1
19,2,2,2.020916220212934,79539.44867046429,26715.976480466707,0.39308660032937903,70691.77710817009,219557.85205384286,36,4,721,9,4,0.6989786386478847,1.3485359197104008,0,7,0,0.5243754866553567,0,1
41,0,3,13.843226833882639,71740.68808408537,43525.80383981193,0.25374445001619833,65160.21658616794,302071.3262392916,12,0,506,9,1,0.8373369960115808,1.2619470066813419,0,3,0,0.842472128593358,1,1
61,0,3,1.2458359626012538,59379.04474831504,93576.75059038546,0.10015892675277888,321714.47475866537,53929.59330548271,60,4,602,2,1,0.5278193296643514,1.1623536623123236,0,4,0,0.11114782746710894,1,0
47,1,1,10.188442562995794,28540.33166406755,15562.761462030037,0.7405010764232691,98591.49098403314,175305.948395067,24,1,411,4,0,0.5619695971322197,0.917157271508656,0,9,0,0.7946621542939618,0,0
